,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,unique_key,x_coordinate_state_plane,y_coordinate_state_plane,created_time,lonlat,geometry
10,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-24T22:53:06.000,05 MANHATTAN,Urinating in Public,2017-06-24 21:41:30,,,N/A,2017-06-25T05:41:30.000,Precinct,,10016,LEXINGTON AVENUE,EAST   28 STREET,,40.7426458313,"{u'type': u'Point', u'coordinates': [-73.982454206524, 40.74264583132]}",Street/Sidewalk,-73.9824542065,PHONE,MANHATTAN,Unspecified,2017-06-24T22:53:06.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,,36529089,989112,209843,21:41:30,"(-73.98245420652424, 40.74264583131978)",POINT (-73.98245420652424 40.74264583131978)
11,ADDRESS,NYPD,New York City Police Department,1019840001,MANHATTAN,NEW YORK,2017-06-25T00:38:07.000,09 MANHATTAN,Urinating in Public,2017-06-24 20:19:26,OLD BROADWAY,BEND,N/A,2017-06-25T04:19:26.000,Precinct,545 WEST 126 STREET,10027,,,,40.8156134238,"{u'type': u'Point', u'coordinates': [-73.95696531167, 40.815613423788]}",Residential Building/House,-73.9569653117,PHONE,MANHATTAN,Unspecified,2017-06-25T00:38:07.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST 126 STREET,36531197,996162,236430,20:19:26,"(-73.95696531167027, 40.81561342378834)",POINT (-73.95696531167027 40.81561342378834)
12,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-26T09:57:08.000,12 MANHATTAN,Urinating in Public,2017-06-25 22:36:44,,,N/A,2017-06-26T06:36:44.000,Precinct,,10040,WEST  191 STREET,ST NICHLAS AVENUE,,40.8555572128,"{u'type': u'Point', u'coordinates': [-73.92916990035, 40.855557212827]}",Street/Sidewalk,-73.9291699004,PHONE,MANHATTAN,Unspecified,2017-06-26T09:57:08.000,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,,36539619,1003844,250988,22:36:44,"(-73.92916990035032, 40.855557212827364)",POINT (-73.92916990035032 40.85555721282736)
13,ADDRESS,NYPD,New York City Police Department,1016800015,MANHATTAN,NEW YORK,2017-07-30T23:09:40.000,11 MANHATTAN,Urinating in Public,2017-07-30 21:05:21,2 AVENUE,1 AVENUE,N/A,2017-07-31T05:05:21.000,Precinct,323 EAST 108 STREET,10029,,,,40.7914277318,"{u'type': u'Point', u'coordinates': [-73.940346812513, 40.791427731841]}",Store/Commercial,-73.9403468125,PHONE,MANHATTAN,Unspecified,2017-07-30T23:09:40.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,EAST 108 STREET,36828717,1000768,227621,21:05:21,"(-73.94034681251257, 40.79142773184086)",POINT (-73.94034681251257 40.79142773184086)
14,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-08-09T21:30:46.000,08 MANHATTAN,Urinating in Public,2017-08-09 20:24:48,,,N/A,2017-08-10T04:24:48.000,Precinct,,10028,EAST   85 STREET,1 AVENUE,,40.7761962489,"{u'type': u'Point', u'coordinates': [-73.949874333784, 40.776196248935]}",Street/Sidewalk,-73.9498743338,PHONE,MANHATTAN,Unspecified,2017-08-09T21:30:46.000,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,Closed,,36908524,998133,222070,20:24:48,"(-73.94987433378367, 40.77619624893512)",POINT (-73.94987433378367 40.77619624893512)
15,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-08-20T21:35:03.000,05 MANHATTAN,Urinating in Public,2017-08-20 20:06:49,5 AVENUE,BROADWAY,N/A,2017-08-21T04:06:49.000,Precinct,WEST 31 STREET,10001,,,,40.7470353036,"{u'type': u'Point', u'coordinates': [-73.987130312251, 40.74703530359]}",Street/Sidewalk,-73.9871303123,PHONE,MANHATTAN,Unspecified,2017-08-20T21:35:03.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 31 STREET,36992499,987816,211442,20:06:49,"(-73.98713031225071, 40.74703530358954)",POINT (-73.98713031225071 40.74703530358954)
16,ADDRESS,NYPD,New York City Police Department,1004580024,MANHATTAN,NEW YORK,2017-09-26T03:44:22.000,03 MANHATTAN,Urinating in Public,2017-09-25 21:45:48,BOWERY,2 AVENUE,N/A,2017-09-26T05:45:48.000,Precinct,34 EAST 3 STREET,10003,,,,40.7257527992,"{u'type': u'Point', u'coordinates': [-73.990294895118, 40.725752799247]}",Residential Building/House,-73.9902948951,PHONE,MANHATTAN,Unspecified,2017-09-26T03:44:22.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,EAST 3 STREET,37275238,986940,203688,21:45:48,"(-73.99029489511794, 40.725752799246784)",POINT (-73.99029489511794 40.72575279924678)
17,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-10-02T23:31:15.000,08 MANHATTAN,Urinating in Public,2017-10-02 23:07:58,LEXINGTON AVENUE,3 AVENUE,N/A,2017-10-03T07:07:58.000,Precinct,EAST 76 STREET,10021,,,,40.7726675633,"{u'type': u'Point', u'coordinates': [-73.959520335709, 40.772667563317]}",Street/Sidewalk,-73.9595203357,PHONE,MANHATTAN,Unspecified,2017-10-02T23:31:15.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,EAST 76 STREET,37332927,995462,220783,23:07:58,"(-73.95952033570876, 40.77266756331679)",POINT (-73.95952033570876 40.77266756331679)
18,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-10-10T13:25:39.000,06 MANHATTAN,Urinating in Public,2017-10-09 21:26:53,,,N/A,2017-10-10T05:26:53.000,Precinct,,10010,2 AVENUE,EAST   26 STREET,,40.7397825684,"{u'type': u'Point', u'coordinates': [-73.979503121272, 40.739782568446]}",Street/Sidewalk,-73.9795031213,PHONE,MANHATTAN,Unspecified,2017-10-10T13:25:39.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,,37386119,989930,208800,21:26:53,"(-73.97950312127165, 40.73978256844563)",POINT (-73.97950312127165 40.73978256844563)
19,ADDRESS,NYPD,New York City Police Department,1015040031,MANHATTAN,NEW YORK,2017-10-25T22:16:21.000,08 MANHATTAN,Urinating in Public,2017-10-25 20:43:24,MADISON AVENUE,PARK AVENUE,N/A,2017-10-26T04:43:24.000,Precinct,1160 PARK AVENUE,10128,,,,40.7842540847,"{u'type': u'Point', u'coordinates': [-73.954797304613, 40.784254084738]}",Street/Sidewalk,-73.9547973046,PHONE,MANHATTAN,Unspecified,2017-10-25T22:16:21.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,PARK AVENUE,37521006,996768,225005,20:43:24,"(-73.95479730461334, 40.784254084738095)",POINT (-73.95479730461334 40.78425408473809)
20,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-10-28T02:33:26.000,05 MANHATTAN,Urinating in Public,2017-10-28 02:21:31,EAST 21 STREET,EAST 22 STREET,N/A,2017-10-28T10:21:31.000,Precinct,BROADWAY,10010,,,,40.7402313082,"{u'type': u'Point', u'coordinates': [-73.989498887602, 40.740231308174]}",Subway Station,-73.9894988876,PHONE,MANHATTAN,Unspecified,2017-10-28T02:33:26.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,BROADWAY,37543772,987160,208963,02:21:31,"(-73.98949888760237, 40.74023130817414)",POINT (-73.98949888760237 40.74023130817414)
21,ADDRESS,NYPD,New York City Police Department,1002280011,MANHATTAN,NEW YORK,2017-11-01T01:39:01.000,02 MANHATTAN,Urinating in Public,2017-11-01 00:28:33,CANAL STREET,GRAND STREET,N/A,2017-11-01T08:28:33.000,Precinct,307 WEST BROADWAY,10013,,,,40.721638733,"{u'type': u'Point', u'coordinates': [-74.004383261899, 40.721638732955]}",Residential Building/House,-74.0043832619,PHONE,MANHATTAN,Unspecified,2017-11-01T01:39:01.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST BROADWAY,37571188,983035,202189,00:28:33,"(-74.00438326189878, 40.721638732955114)",POINT (-74.00438326189878 40.72163873295511)
22,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-11-01T22:35:56.000,12 MANHATTAN,Urinating in Public,2017-11-01 22:15:20,,,N/A,2017-11-02T06:15:20.000,Precinct,,10040,WEST  187 STREET,FORT WASHINGTON AVENUE,,40.8550978405,"{u'type': u'Point', u'coordinates': [-73.936891736684, 40.855097840491]}",Street/Sidewalk,-73.9368917367,PHONE,MANHATTAN,Unspecified,2017-11-01T22:35:56.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,37577477,1001708,250819,22:15:20,"(-73.93689173668447, 40.85509784049095)",POINT (-73.93689173668447 40.85509784049095)
23,ADDRESS,NYPD,New York City Police Department,1005930036,MANHATTAN,NEW YORK,2017-11-29T07:31:31.000,02 MANHATTAN,Urinating in Public,2017-11-29 02:08:43,GAY STREET,GROVE STREET,N/A,2017-11-29T10:08:43.000,Precinct,30 CHRISTOPHER STREET,10014,,,,40.7338721909,"{u'type': u'Point', u'coordinates': [-74.000956195603, 40.733872190933]}",Street/Sidewalk,-74.0009561956,PHONE,MANHATTAN,Unspecified,2017-11-29T07:31:31.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,CHRISTOPHER STREET,37806531,983985,206646,02:08:43,"(-74.00095619560308, 40.73387219093296)",POINT (-74.00095619560308 40.73387219093296)
24,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2018-10-24T02:10:56.000,02 MANHATTAN,Urinating in Public,2018-10-23 23:35:28,,,N/A,2018-10-24T07:35:28.000,Precinct,,10014,BEDFORD STREET,DOWNING STREET,,40.7293432915,"{u'type': u'Point', u'coordinates': [-74.003654944588, 40.729343291508]}",Street/Sidewalk,-74.0036549446,PHONE,MANHATTAN,Unspecified,2018-10-24T02:10:56.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,40631889,983237,204996,23:35:28,"(-74.00365494458795, 40.729343291507625)",POINT (-74.00365494458795 40.72934329150763)
25,ADDRESS,NYPD,New York City Police Department,1004540056,MANHATTAN,NEW YORK,2018-01-20T05:12:53.000,03 MANHATTAN,Urinating in Public,2018-01-19 21:38:56,2 AVENUE,1 AVENUE,N/A,2018-01-20T05:38:56.000,Precinct,329 EAST 12 STREET,10003,,,,40.7306735884,"{u'type': u'Point', u'coordinates': [-73.985073240192, 40.730673588413]}",Street/Sidewalk,-73.9850732402,PHONE,MANHATTAN,Unspecified,2018-01-20T05:12:53.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,EAST 12 STREET,38257784,988387,205481,21:38:56,"(-73.98507324019167, 40.73067358841306)",POINT (-73.98507324019167 40.73067358841306)
26,ADDRESS,NYPD,New York City Police Department,1003530034,MANHATTAN,NEW YORK,2018-02-03T23:31:28.000,03 MANHATTAN,Urinating in Public,2018-02-03 21:53:00,DELANCEY STREET,RIVINGTON STREET,N/A,2018-02-04T05:53:00.000,Precinct,107 NORFOLK STREET,10002,,,,40.7189290157,"{u'type': u'Point', u'coordinates': [-73.987092449801, 40.718929015696]}",Residential Building/House,-73.9870924498,PHONE,MANHATTAN,Unspecified,2018-02-03T23:31:28.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,NORFOLK STREET,38383305,987828,201202,21:53:00,"(-73.98709244980137, 40.71892901569583)",POINT (-73.98709244980137 40.71892901569583)
27,ADDRESS,NYPD,New York City Police Department,1005740057,MANHATTAN,NEW YORK,2018-03-04T01:01:19.000,02 MANHATTAN,Urinating in Public,2018-03-04 00:47:04,5 AVENUE,AVENUE OF THE AMERICAS,N/A,2018-03-04T08:47:04.000,Precinct,25 WEST 10 STREET,10011,,,,40.7338748871,"{u'type': u'Point', u'coordinates': [-73.996521612834, 40.733874887123]}",Residential Building/House,-73.9965216128,PHONE,MANHATTAN,Unspecified,2018-03-04T01:01:19.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST 10 STREET,38604290,985214,206647,00:47:04,"(-73.99652161283441, 40.73387488712305)",POINT (-73.99652161283441 40.73387488712305)
28,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2018-03-18T02:49:04.000,04 MANHATTAN,Urinating in Public,2018-03-17 23:28:40,,,N/A,2018-03-18T07:28:40.000,Precinct,,10019,8 AVENUE,WEST   52 STREET,,40.7635447156,"{u'type': u'Point', u'coordinates': [-73.985192219598, 40.7635447156]}",Street/Sidewalk,-73.9851922196,PHONE,MANHATTAN,Unspecified,2018-03-18T02:49:04.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,38717767,988352,217457,23:28:40,"(-73.98519221959798, 40.763544715600496)",POINT (-73.98519221959798 40.7635447156005)
29,ADDRESS,NYPD,New York City Police Department,1015480013,MANHATTAN,NEW YORK,2012-03-08T22:03:12.000,08 MANHATTAN,Urinating in Public,2012-03-08 21:10:33,2 AVENUE,1 AVENUE,N/A,2012-03-09T05:10:33.000,Precinct,323 EAST   85 STREET,10028,,,,40.7768941104,"{u'type': u'Point', u'coordinates': [-73.951505807383, 40.776894110371]}",,-73.9515058074,UNKNOWN,MANHATTAN,Unspecified,2012-03-08T22:03:01.000,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,EAST   85 STREET,22843591,997681,222324,21:10:33,"(-73.951505807383, 40.77689411037145)",POINT (-73.951505807383 40.77689411037145)
30,ADDRESS,NYPD,New York City Police Department,1000257501,MANHATTAN,NEW YORK,2013-07-31T22:24:46.000,01 MANHATTAN,Urinating in Public,2013-07-31 22:08:27,BEAVER STREET,EXCHANGE PLACE,N/A,2013-08-01T06:08:27.000,Precinct,15 WILLIAM STREET,10004,,,,40.7052082398,"{u'type': u'Point', u'coordinates': [-74.009997866055, 40.705208239755]}",Residential Building/House,-74.0099978661,PHONE,MANHATTAN,Unspecified,2013-07-31T22:22:04.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WILLIAM STREET,26040380,981478,196203,22:08:27,"(-74.00999786605462, 40.70520823975513)",POINT (-74.00999786605462 40.70520823975513)
31,ADDRESS,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2014-04-14T02:04:12.000,10 MANHATTAN,Urinating in Public,2014-04-13 23:17:34,WEST 112 STREET,WEST 113 STREET,N/A,2014-04-14T07:17:34.000,Precinct,60 LENOX AVENUE,10026,,,,40.800018322,"{u'type': u'Point', u'coordinates': [-73.951131386052, 40.800018322043]}",Street/Sidewalk,-73.9511313861,PHONE,MANHATTAN,Unspecified,2014-04-14T02:04:12.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,LENOX AVENUE,27838891,997780,230749,23:17:34,"(-73.95113138605188, 40.80001832204267)",POINT (-73.95113138605188 40.80001832204267)
32,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2014-04-26T21:34:01.000,02 MANHATTAN,Urinating in Public,2014-04-26 20:47:30,WEST 11 STREET,BANK STREET,N/A,2014-04-27T04:47:30.000,Precinct,GREENWICH STREET,10014,,,,40.7360760364,"{u'type': u'Point', u'coordinates': [-74.006711632636, 40.736076036386]}",Street/Sidewalk,-74.0067116326,PHONE,MANHATTAN,Unspecified,2014-04-26T21:34:01.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,GREENWICH STREET,27919365,982390,207449,20:47:30,"(-74.00671163263574, 40.73607603638588)",POINT (-74.00671163263574 40.73607603638588)
33,ADDRESS,NYPD,New York City Police Department,1004060021,MANHATTAN,NEW YORK,2014-04-27T03:49:16.000,03 MANHATTAN,Urinating in Public,2014-04-27 02:41:31,AVENUE A,AVENUE B,N/A,2014-04-27T10:41:31.000,Precinct,530 EAST 13 STREET,10009,,,,40.7293608292,"{u'type': u'Point', u'coordinates': [-73.980018668682, 40.729360829156]}",Street/Sidewalk,-73.9800186687,PHONE,MANHATTAN,Unspecified,2014-04-27T03:49:16.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,EAST 13 STREET,27927149,989788,205003,02:41:31,"(-73.98001866868249, 40.72936082915608)",POINT (-73.98001866868249 40.72936082915608)
34,ADDRESS,NYPD,New York City Police Department,1001717502,MANHATTAN,NEW YORK,2014-05-26T22:46:41.000,01 MANHATTAN,Urinating in Public,2014-05-26 22:32:38,LEONARD STREET,FRANKLIN STREET,N/A,2014-05-27T06:32:38.000,Precinct,354 BROADWAY,10013,,,,40.7170879418,"{u'type': u'Point', u'coordinates': [-74.003827426614, 40.717087941763]}",Street/Sidewalk,-74.0038274266,PHONE,MANHATTAN,Unspecified,2014-05-26T22:46:41.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,BROADWAY,28120831,983189,200531,22:32:38,"(-74.00382742661363, 40.717087941762706)",POINT (-74.00382742661363 40.71708794176271)
35,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2014-05-29T23:58:35.000,01 MANHATTAN,Urinating in Public,2014-05-29 22:03:24,GREENWICH STREET,WASHINGTON STREET,N/A,2014-05-30T06:03:24.000,Precinct,HUBERT STREET,10013,,,,40.7214928832,"{u'type': u'Point', u'coordinates': [-74.010303348651, 40.721492883169]}",Street/Sidewalk,-74.0103033487,PHONE,MANHATTAN,Unspecified,2014-05-29T23:58:35.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,HUBERT STREET,28142412,981394,202136,22:03:24,"(-74.01030334865071, 40.72149288316857)",POINT (-74.01030334865071 40.72149288316857)
36,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2014-06-05T00:11:49.000,09 MANHATTAN,Urinating in Public,2014-06-04 22:29:29,,,N/A,2014-06-05T06:29:29.000,Precinct,,10025,WEST  116 STREET,MORNINGSIDE DRIVE,,40.8061202962,"{u'type': u'Point', u'coordinates': [-73.959355502964, 40.806120296163]}",Park/Playground,-73.959355503,PHONE,MANHATTAN,Unspecified,2014-06-05T00:11:49.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,,28188812,995502,232971,22:29:29,"(-73.95935550296377, 40.80612029616291)",POINT (-73.95935550296377 40.80612029616291)
37,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2014-06-29T22:46:32.000,12 MANHATTAN,Urinating in Public,2014-06-29 22:18:41,,,N/A,2014-06-30T06:18:41.000,Precinct,,10034,DYCKMAN STREET,STAFF STREET,,40.8677935822,"{u'type': u'Point', u'coordinates': [-73.929988444101, 40.867793582241]}",Street/Sidewalk,-73.9299884441,PHONE,MANHATTAN,Unspecified,2014-06-29T22:46:32.000,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,,28365650,1003614,255446,22:18:41,"(-73.92998844410148, 40.86779358224087)",POINT (-73.92998844410148 40.86779358224087)
38,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2014-07-02T00:22:18.000,07 MANHATTAN,Urinating in Public,2014-07-02 00:05:12,BROADWAY,WEST END AVENUE,N/A,2014-07-02T08:05:12.000,Precinct,WEST 87 STREET,10024,,,,40.7892779665,"{u'type': u'Point', u'coordinates': [-73.976703580246, 40.789277966516]}",Street/Sidewalk,-73.9767035802,PHONE,MANHATTAN,Unspecified,2014-07-02T00:22:18.000,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,WEST 87 STREET,28381197,990701,226833,00:05:12,"(-73.97670358024618, 40.789277966516146)",POINT (-73.97670358024618 40.78927796651615)
39,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2014-07-08T22:41:03.000,10 MANHATTAN,Urinating in Public,2014-07-08 21:25:53,,,N/A,2014-07-09T05:25:53.000,Precinct,,10037,WEST  136 STREET,LENOX AVENUE,,40.8147743846,"{u'type': u'Point', u'coordinates': [-73.940369238037, 40.814774384572]}",Street/Sidewalk,-73.940369238,PHONE,MANHATTAN,Unspecified,2014-07-08T22:41:03.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,,28426908,1000756,236127,21:25:53,"(-73.94036923803698, 40.81477438457239)",POINT (-73.94036923803698 40.81477438457239)
