,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,unique_key,x_coordinate_state_plane,y_coordinate_state_plane,created_time,lonlat,geometry
10,ADDRESS,NYPD,New York City Police Department,1019330001,MANHATTAN,NEW YORK,2017-04-12T05:26:05.000,10 MANHATTAN,Drinking,2017-04-12 01:46:44,7 AVENUE,8 AVENUE,In Public,2017-04-12T09:46:44.000,Precinct,237 WEST 127 STREET,10027,,,,40.8107737656,"{u'type': u'Point', u'coordinates': [-73.94852613371, 40.810773765611]}",Park/Playground,-73.9485261337,ONLINE,MANHATTAN,Unspecified,2017-04-12T05:26:05.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 127 STREET,35923051,998499,234668,01:46:44,"(-73.94852613371023, 40.8107737656108)",POINT (-73.94852613371023 40.8107737656108)
11,ADDRESS,NYPD,New York City Police Department,1012490021,MANHATTAN,NEW YORK,2017-04-15T00:44:54.000,07 MANHATTAN,Drinking,2017-04-14 23:25:48,WEST END AVENUE,RIVERSIDE DRIVE,In Public,2017-04-15T07:25:48.000,Precinct,323 WEST 87 STREET,10024,,,,40.7898903197,"{u'type': u'Point', u'coordinates': [-73.978122615294, 40.789890319743]}",Residential Building/House,-73.9781226153,ONLINE,MANHATTAN,Unspecified,2017-04-15T00:44:54.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 87 STREET,35948454,990308,227056,23:25:48,"(-73.97812261529424, 40.78989031974324)",POINT (-73.97812261529424 40.78989031974324)
12,ADDRESS,NYPD,New York City Police Department,1008270001,MANHATTAN,NEW YORK,2017-04-29T23:45:37.000,05 MANHATTAN,Drinking,2017-04-29 21:18:08,WEST 25 STREET,WEST 26 STREET,In Public,2017-04-30T05:18:08.000,Precinct,766 6 AVENUE,10010,,,,40.7445132928,"{u'type': u'Point', u'coordinates': [-73.991616614455, 40.744513292848]}",Street/Sidewalk,-73.9916166145,PHONE,MANHATTAN,Unspecified,2017-04-29T23:45:37.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,6 AVENUE,36060202,986573,210523,21:18:08,"(-73.99161661445498, 40.7445132928479)",POINT (-73.99161661445498 40.7445132928479)
13,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-04-30T01:53:35.000,Unspecified MANHATTAN,Drinking,2017-04-30 00:31:23,,,In Public,2017-04-30T08:31:23.000,Precinct,,10463,MARBLE HILL AVENUE,WEST  225 STREET,,40.8746615177,"{u'type': u'Point', u'coordinates': [-73.911087994382, 40.874661517691]}",Street/Sidewalk,-73.9110879944,ONLINE,MANHATTAN,Unspecified,2017-04-30T01:53:35.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,,36060241,1008839,257953,00:31:23,"(-73.91108799438194, 40.87466151769141)",POINT (-73.91108799438194 40.87466151769141)
14,ADDRESS,NYPD,New York City Police Department,1009330025,MANHATTAN,NEW YORK,2017-04-30T01:31:31.000,06 MANHATTAN,Drinking,2017-04-30 01:16:57,MOUNT CARMEL PLACE,1 AVENUE,In Public,2017-04-30T09:16:57.000,Precinct,344 EAST 28 STREET,10016,,,,40.7402953546,"{u'type': u'Point', u'coordinates': [-73.976951659804, 40.740295354644]}",Residential Building/House,-73.9769516598,PHONE,MANHATTAN,Unspecified,2017-04-30T01:31:31.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,EAST 28 STREET,36068309,990637,208987,01:16:57,"(-73.97695165980414, 40.740295354643706)",POINT (-73.97695165980414 40.74029535464371)
15,ADDRESS,NYPD,New York City Police Department,1021170012,MANHATTAN,NEW YORK,2017-05-02T23:32:47.000,12 MANHATTAN,Drinking,2017-05-02 20:40:44,AMSTERDAM AVENUE,BROADWAY,In Public,2017-05-03T04:40:44.000,Precinct,568 WEST 159 STREET,10032,,,,40.8348395281,"{u'type': u'Point', u'coordinates': [-73.942870046186, 40.834839528121]}",Street/Sidewalk,-73.9428700462,ONLINE,MANHATTAN,Unspecified,2017-05-02T23:32:47.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 159 STREET,36086692,1000059,243437,20:40:44,"(-73.94287004618644, 40.83483952812146)",POINT (-73.94287004618644 40.83483952812146)
16,ADDRESS,NYPD,New York City Police Department,1012710027,MANHATTAN,NEW YORK,2017-05-03T23:02:14.000,05 MANHATTAN,Drinking,2017-05-03 21:35:01,5 AVENUE,AVENUE OF THE AMERICAS,In Public,2017-05-04T05:35:01.000,Precinct,15 WEST 55 STREET,10019,,,,40.7620142864,"{u'type': u'Point', u'coordinates': [-73.975716808699, 40.762014286387]}",Residential Building/House,-73.9757168087,PHONE,MANHATTAN,Unspecified,2017-05-03T23:02:14.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 55 STREET,36098048,990977,216900,21:35:01,"(-73.97571680869875, 40.76201428638656)",POINT (-73.97571680869875 40.76201428638656)
17,ADDRESS,NYPD,New York City Police Department,1003070001,MANHATTAN,NEW YORK,2017-05-12T23:09:58.000,03 MANHATTAN,Drinking,2017-05-12 21:29:16,HESTER STREET,GRAND STREET,In Public,2017-05-13T05:29:16.000,Precinct,45 ALLEN STREET,10002,,,,40.7166046294,"{u'type': u'Point', u'coordinates': [-73.991713915937, 40.716604629385]}",Residential Building/House,-73.9917139159,PHONE,MANHATTAN,Unspecified,2017-05-12T23:07:41.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,ALLEN STREET,36173695,986547,200355,21:29:16,"(-73.99171391593737, 40.716604629384705)",POINT (-73.99171391593737 40.7166046293847)
18,ADDRESS,NYPD,New York City Police Department,1014150143,MANHATTAN,NEW YORK,2017-05-17T23:26:02.000,08 MANHATTAN,Drinking,2017-05-17 20:46:55,3 AVENUE,2 AVENUE,In Public,2017-05-18T04:46:55.000,Precinct,208 EAST 61 STREET,10065,,,,40.762601713,"{u'type': u'Point', u'coordinates': [-73.965211954561, 40.762601712963]}",Street/Sidewalk,-73.9652119546,PHONE,MANHATTAN,Unspecified,2017-05-17T23:25:57.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,EAST 61 STREET,36212596,993887,217115,20:46:55,"(-73.96521195456137, 40.762601712962876)",POINT (-73.96521195456137 40.76260171296288)
19,ADDRESS,NYPD,New York City Police Department,1019270053,MANHATTAN,NEW YORK,2017-05-20T07:38:23.000,10 MANHATTAN,Drinking,2017-05-19 22:57:45,7 AVENUE,8 AVENUE,In Public,2017-05-20T06:57:45.000,Precinct,238 WEST 122 STREET,10027,,,,40.807558026,"{u'type': u'Point', u'coordinates': [-73.950995808204, 40.807558026032]}",Street/Sidewalk,-73.9509958082,PHONE,MANHATTAN,Unspecified,2017-05-20T07:38:23.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 122 STREET,36237806,997816,233496,22:57:45,"(-73.95099580820448, 40.807558026031714)",POINT (-73.95099580820448 40.80755802603171)
20,ADDRESS,NYPD,New York City Police Department,1020910022,MANHATTAN,NEW YORK,2017-05-29T07:42:36.000,09 MANHATTAN,Drinking,2017-05-28 23:16:28,BROADWAY,RIVERSIDE DRIVE,In Public,2017-05-29T07:16:28.000,Precinct,619 WEST 144 STREET,10031,,,,40.8259752822,"{u'type': u'Point', u'coordinates': [-73.95143390475, 40.825975282191]}",Residential Building/House,-73.9514339048,PHONE,MANHATTAN,Unspecified,2017-05-29T07:42:36.000,The Police Department reviewed your complaint and provided additional information below.,Closed,WEST 144 STREET,36300041,997691,240206,23:16:28,"(-73.95143390475019, 40.8259752821912)",POINT (-73.95143390475019 40.8259752821912)
21,ADDRESS,NYPD,New York City Police Department,1017170019,MANHATTAN,NEW YORK,2017-05-31T21:31:11.000,10 MANHATTAN,Drinking,2017-05-31 21:02:08,5 AVENUE,LENOX AVENUE,In Public,2017-06-01T05:02:08.000,Precinct,29 WEST 118 STREET,10026,,,,40.8024399059,"{u'type': u'Point', u'coordinates': [-73.946600156749, 40.802439905875]}",Street/Sidewalk,-73.9466001567,PHONE,MANHATTAN,Unspecified,2017-05-31T21:31:11.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 118 STREET,36317987,999034,231632,21:02:08,"(-73.94660015674866, 40.802439905874664)",POINT (-73.94660015674866 40.80243990587466)
22,ADDRESS,NYPD,New York City Police Department,1021420081,MANHATTAN,NEW YORK,2017-06-02T01:22:30.000,12 MANHATTAN,Drinking,2017-06-02 00:06:20,BROADWAY,FT WASHINGTON AVENUE,In Public,2017-06-02T08:06:20.000,Precinct,642 WEST 172 STREET,10032,,,,40.8442028466,"{u'type': u'Point', u'coordinates': [-73.93966698965, 40.84420284661]}",Street/Sidewalk,-73.9396669897,ONLINE,MANHATTAN,Unspecified,2017-06-02T01:22:30.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 172 STREET,36332103,1000943,246849,00:06:20,"(-73.93966698965016, 40.84420284661012)",POINT (-73.93966698965016 40.84420284661012)
23,ADDRESS,NYPD,New York City Police Department,1004490003,MANHATTAN,NEW YORK,2017-06-04T23:03:55.000,03 MANHATTAN,Drinking,2017-06-04 22:43:33,EAST 7 STREET,ST MARKS PLACE,In Public,2017-06-05T06:43:33.000,Precinct,122 SECOND AVENUE,10003,,,,40.7282091336,"{u'type': u'Point', u'coordinates': [-73.987938527303, 40.728209133634]}",Street/Sidewalk,-73.9879385273,PHONE,MANHATTAN,Unspecified,2017-06-04T23:03:55.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,SECOND AVENUE,36358074,987593,204583,22:43:33,"(-73.9879385273033, 40.7282091336342)",POINT (-73.9879385273033 40.7282091336342)
24,ADDRESS,NYPD,New York City Police Department,1020250061,MANHATTAN,NEW YORK,2017-06-05T23:15:41.000,10 MANHATTAN,Drinking,2017-06-05 23:01:18,WEST 139 STREET,WEST 140 STREET,In Public,2017-06-06T07:01:18.000,Precinct,2620 FREDRICK DOUGLAS BOULEVARD,10030,,,,40.8193902838,"{u'type': u'Point', u'coordinates': [-73.944422414366, 40.819390283801]}",Store/Commercial,-73.9444224144,PHONE,MANHATTAN,Unspecified,2017-06-05T23:15:41.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,FREDRICK DOUGLAS BOULEVARD,36364355,999633,237808,23:01:18,"(-73.94442241436641, 40.81939028380099)",POINT (-73.94442241436641 40.81939028380099)
25,ADDRESS,NYPD,New York City Police Department,1009330025,MANHATTAN,NEW YORK,2017-06-08T01:25:55.000,06 MANHATTAN,Drinking,2017-06-08 01:10:40,MOUNT CARMEL PLACE,1 AVENUE,In Public,2017-06-08T09:10:40.000,Precinct,344 EAST 28 STREET,10016,,,,40.7402953546,"{u'type': u'Point', u'coordinates': [-73.976951659804, 40.740295354644]}",Street/Sidewalk,-73.9769516598,PHONE,MANHATTAN,Unspecified,2017-06-08T01:25:55.000,This complaint does not fall under the Police Department's jurisdiction.,Closed,EAST 28 STREET,36385274,990637,208987,01:10:40,"(-73.97695165980414, 40.740295354643706)",POINT (-73.97695165980414 40.74029535464371)
26,ADDRESS,NYPD,New York City Police Department,1020250061,MANHATTAN,NEW YORK,2017-06-09T00:47:50.000,10 MANHATTAN,Drinking,2017-06-08 23:29:45,WEST 139 STREET,WEST 140 STREET,In Public,2017-06-09T07:29:45.000,Precinct,2620 8 AVENUE,10030,,,,40.8193902838,"{u'type': u'Point', u'coordinates': [-73.944422414366, 40.819390283801]}",Street/Sidewalk,-73.9444224144,PHONE,MANHATTAN,Unspecified,2017-06-09T00:47:50.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,8 AVENUE,36393060,999633,237808,23:29:45,"(-73.94442241436641, 40.81939028380099)",POINT (-73.94442241436641 40.81939028380099)
27,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-11T06:14:31.000,10 MANHATTAN,Drinking,2017-06-11 01:18:25,,,In Public,2017-06-11T09:18:25.000,Precinct,,10026,WEST  119 STREET,MORNINGSIDE AVENUE,,40.8075466251,"{u'type': u'Point', u'coordinates': [-73.956804362502, 40.807546625122]}",Street/Sidewalk,-73.9568043625,PHONE,MANHATTAN,Unspecified,2017-06-11T06:14:31.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,,36409007,996208,233491,01:18:25,"(-73.95680436250187, 40.80754662512226)",POINT (-73.95680436250187 40.80754662512226)
28,ADDRESS,NYPD,New York City Police Department,1020610036,MANHATTAN,NEW YORK,2017-06-11T04:53:21.000,09 MANHATTAN,Drinking,2017-06-11 00:23:20,ST NICHOLAS AVENUE,CONVENT AVENUE,In Public,2017-06-11T08:23:20.000,Precinct,402 WEST 147 STREET,10031,,,,40.8254394798,"{u'type': u'Point', u'coordinates': [-73.944088555978, 40.825439479837]}",Street/Sidewalk,-73.944088556,ONLINE,MANHATTAN,Unspecified,2017-06-11T04:53:21.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 147 STREET,36409011,999724,240012,00:23:20,"(-73.9440885559785, 40.825439479836575)",POINT (-73.9440885559785 40.82543947983658)
29,ADDRESS,NYPD,New York City Police Department,1020610036,MANHATTAN,NEW YORK,2017-06-11T04:53:20.000,09 MANHATTAN,Drinking,2017-06-11 00:22:29,ST NICHOLAS AVENUE,CONVENT AVENUE,In Public,2017-06-11T08:22:29.000,Precinct,402 WEST 147 STREET,10031,,,,40.8254394798,"{u'type': u'Point', u'coordinates': [-73.944088555978, 40.825439479837]}",Residential Building/House,-73.944088556,PHONE,MANHATTAN,Unspecified,2017-06-11T04:53:20.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 147 STREET,36409234,999724,240012,00:22:29,"(-73.9440885559785, 40.825439479836575)",POINT (-73.9440885559785 40.82543947983658)
30,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-10T23:50:50.000,11 MANHATTAN,Drinking,2017-06-10 21:25:03,,,In Public,2017-06-11T05:25:03.000,Precinct,,10035,EAST  117 STREET,PARK AVENUE,,40.7999787746,"{u'type': u'Point', u'coordinates': [-73.942733819007, 40.79997877462]}",Street/Sidewalk,-73.942733819,PHONE,MANHATTAN,Unspecified,2017-06-10T23:50:50.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,,36410737,1000105,230736,21:25:03,"(-73.94273381900739, 40.79997877461986)",POINT (-73.94273381900739 40.79997877461986)
31,ADDRESS,NYPD,New York City Police Department,1021580007,MANHATTAN,NEW YORK,2017-06-15T00:49:57.000,12 MANHATTAN,Drinking,2017-06-14 23:57:19,AUDUBON AVENUE,ST NICHOLAS AVENUE,In Public,2017-06-15T07:57:19.000,Precinct,564 WEST 188 STREET,10040,,,,40.853334341,"{u'type': u'Point', u'coordinates': [-73.929721712115, 40.853334340957]}",Street/Sidewalk,-73.9297217121,PHONE,MANHATTAN,Unspecified,2017-06-15T00:49:57.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 188 STREET,36447338,1003692,250178,23:57:19,"(-73.92972171211538, 40.853334340957325)",POINT (-73.92972171211538 40.85333434095732)
32,ADDRESS,NYPD,New York City Police Department,1020380061,MANHATTAN,NEW YORK,2017-06-17T02:08:56.000,10 MANHATTAN,Drinking,2017-06-16 23:55:46,MACOMBS PLACE,8 AVENUE,In Public,2017-06-17T07:55:46.000,Precinct,270 WEST 153 STREET,10039,,,,40.8275028131,"{u'type': u'Point', u'coordinates': [-73.937398486358, 40.827502813094]}",Street/Sidewalk,-73.9373984864,PHONE,MANHATTAN,Unspecified,2017-06-17T02:08:56.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 153 STREET,36462661,1001575,240765,23:55:46,"(-73.93739848635819, 40.82750281309416)",POINT (-73.93739848635819 40.82750281309416)
33,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-18T23:22:57.000,06 MANHATTAN,Drinking,2017-06-18 20:47:55,,,In Public,2017-06-19T04:47:55.000,Precinct,,10003,EAST   20 STREET,IRVING PLACE,,40.7376399048,"{u'type': u'Point', u'coordinates': [-73.98612174997, 40.73763990482]}",Street/Sidewalk,-73.98612175,PHONE,MANHATTAN,Unspecified,2017-06-18T23:22:57.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,,36477680,988096,208019,20:47:55,"(-73.98612174996995, 40.73763990482006)",POINT (-73.98612174996995 40.73763990482006)
34,ADDRESS,NYPD,New York City Police Department,1021700016,MANHATTAN,NEW YORK,2017-06-25T15:35:12.000,12 MANHATTAN,Drinking,2017-06-22 20:24:13,WADSWORTH AVENUE,WADSWORTH TERRACE,In Public,2017-06-23T04:24:13.000,Precinct,666 WEST 188 STREET,10040,,,,40.8543320814,"{u'type': u'Point', u'coordinates': [-73.932081136208, 40.854332081376]}",Street/Sidewalk,-73.9320811362,PHONE,MANHATTAN,Unspecified,2017-06-25T15:35:12.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 188 STREET,36519807,1003039,250541,20:24:13,"(-73.93208113620807, 40.85433208137566)",POINT (-73.93208113620807 40.85433208137566)
35,ADDRESS,NYPD,New York City Police Department,1005250007,MANHATTAN,NEW YORK,2017-06-23T04:17:37.000,02 MANHATTAN,Drinking,2017-06-23 02:51:46,WEST HOUSTON STREET,BLEECKER STREET,In Public,2017-06-23T10:51:46.000,Precinct,185 SULLIVAN STREET,10012,,,,40.7283771929,"{u'type': u'Point', u'coordinates': [-74.00077210938, 40.728377192877]}",Club/Bar/Restaurant,-74.0007721094,PHONE,MANHATTAN,Unspecified,2017-06-23T04:17:37.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,SULLIVAN STREET,36521790,984036,204644,02:51:46,"(-74.00077210938035, 40.728377192876884)",POINT (-74.00077210938035 40.72837719287688)
36,ADDRESS,NYPD,New York City Police Department,1007620070,MANHATTAN,NEW YORK,2017-06-24T21:11:14.000,04 MANHATTAN,Drinking,2017-06-24 20:40:08,WEST 38 STREET,WEST 39 STREET,In Public,2017-06-25T04:40:08.000,Precinct,522 9 AVENUE,10018,,,,40.7564311393,"{u'type': u'Point', u'coordinates': [-73.99407679851, 40.756431139269]}",Street/Sidewalk,-73.9940767985,PHONE,MANHATTAN,Unspecified,2017-06-24T21:11:14.000,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,9 AVENUE,36533129,985891,214865,20:40:08,"(-73.99407679850974, 40.75643113926877)",POINT (-73.99407679850974 40.75643113926877)
37,ADDRESS,NYPD,New York City Police Department,1020740042,MANHATTAN,NEW YORK,2017-06-26T23:25:30.000,09 MANHATTAN,Drinking,2017-06-26 22:24:22,HAMILTON PLACE,BROADWAY,In Public,2017-06-27T06:24:22.000,Precinct,502 WEST 143 STREET,10031,,,,40.8242012245,"{u'type': u'Point', u'coordinates': [-73.949180572753, 40.824201224504]}",Street/Sidewalk,-73.9491805728,ONLINE,MANHATTAN,Unspecified,2017-06-26T23:25:30.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST 143 STREET,36547581,998315,239560,22:24:22,"(-73.94918057275287, 40.82420122450421)",POINT (-73.94918057275287 40.82420122450421)
38,ADDRESS,NYPD,New York City Police Department,1020270025,MANHATTAN,NEW YORK,2017-06-28T03:45:27.000,10 MANHATTAN,Drinking,2017-06-28 00:03:11,WEST 141 STREET,WEST 142 STREET,In Public,2017-06-28T08:03:11.000,Precinct,2430 7 AVENUE,10030,,,,40.8195448362,"{u'type': u'Point', u'coordinates': [-73.940617868579, 40.819544836217]}",Street/Sidewalk,-73.9406178686,PHONE,MANHATTAN,Unspecified,2017-06-28T03:45:27.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,7 AVENUE,36558837,1000686,237865,00:03:11,"(-73.94061786857885, 40.81954483621709)",POINT (-73.94061786857885 40.81954483621709)
